Collection,Scanner,Ballot id,Contest,Selections
pbc1,scanner1,bid141,con1,sel1
pbc1,scanner1,bid142,con2,sel1
pbc1,scanner1,bid142,con1,sel1
pbc1,scanner1,bid143,con2,sel1
pbc1,scanner1,bid144,con1,sel2
pbc1,scanner1,bid145,con2,sel4
pbc1,scanner1,bid145,con1,sel1
pbc1,scanner1,bid146,con1,sel2
pbc1,scanner1,bid148,con2,sel3
pbc1,scanner1,bid148,con1,sel2
pbc1,scanner1,bid149,con1,sel2
pbc1,scanner1,bid150,con1,sel1
pbc1,scanner1,bid151,con2,sel4
pbc1,scanner1,bid151,con1,sel2
pbc1,scanner1,bid152,con1,sel1
pbc1,scanner1,bid153,con1,sel2
pbc1,scanner1,bid155,con1,sel1
pbc1,scanner1,bid156,con1,sel1
pbc1,scanner1,bid159,con2,sel3
pbc1,scanner1,bid159,con1,sel2
pbc1,scanner1,bid160,con1,sel1
pbc1,scanner1,bid161,con2,sel2
pbc1,scanner1,bid161,con1,sel2
pbc1,scanner1,bid162,con2,sel3
pbc1,scanner1,bid163,con1,sel2
pbc1,scanner1,bid165,con2,sel3
pbc1,scanner1,bid165,con1,sel2
pbc1,scanner1,bid169,con1,sel2
pbc1,scanner1,bid170,con2,sel1
pbc1,scanner1,bid170,con1,sel2
pbc1,scanner1,bid171,con2,sel4
pbc1,scanner1,bid171,con1,sel2
pbc1,scanner1,bid172,con2,sel3
pbc1,scanner1,bid172,con1,sel1
pbc1,scanner1,bid173,con1,sel1
pbc1,scanner1,bid174,con2,sel2
pbc1,scanner1,bid174,con1,sel2
pbc1,scanner1,bid175,con2,sel5
pbc1,scanner1,bid175,con1,sel1
pbc1,scanner1,bid178,con2,sel3
pbc1,scanner1,bid178,con1,sel2
pbc1,scanner1,bid179,con2,sel3
pbc1,scanner1,bid180,con2,sel1
pbc1,scanner1,bid181,con2,sel1
pbc1,scanner1,bid182,con2,sel3
pbc1,scanner1,bid182,con1,sel2
pbc1,scanner1,bid183,con2,sel4
pbc1,scanner1,bid183,con1,sel2
pbc1,scanner1,bid184,con2,sel4
pbc1,scanner1,bid184,con1,sel2
pbc1,scanner1,bid185,con1,sel2
pbc1,scanner1,bid186,con2,sel3
pbc1,scanner1,bid186,con1,sel1
pbc1,scanner1,bid187,con1,sel2
pbc1,scanner1,bid189,con2,sel3
pbc1,scanner1,bid189,con1,sel2
pbc1,scanner1,bid191,con2,sel5
pbc1,scanner1,bid192,con2,sel2
pbc1,scanner1,bid193,con2,sel5
pbc1,scanner1,bid194,con1,sel1
pbc1,scanner1,bid195,con2,sel4
pbc1,scanner1,bid196,con2,sel3
pbc1,scanner1,bid196,con1,sel1
pbc1,scanner1,bid197,con2,sel5
pbc1,scanner1,bid197,con1,sel1
pbc1,scanner1,bid198,con2,sel3
pbc1,scanner1,bid199,con1,sel2
pbc1,scanner1,bid200,con2,sel4
