Ballot order,Collection,Box,Position,Stamp,Ballot id,Comments
123,pbc1,box1,34,stmp000578,bid34,,
124,pbc1,box1,53,stmp000901,bid53,,
125,pbc1,box2,73,stmp002941,bid173,,
126,pbc1,box2,45,stmp002465,bid145,,
127,pbc1,box1,28,stmp000476,bid28,,
128,pbc1,box2,26,stmp002142,bid126,,
129,pbc1,box1,44,stmp000748,bid44,,
130,pbc1,box1,69,stmp001173,bid69,,
131,pbc1,box1,85,stmp001445,bid85,,
132,pbc1,box2,62,stmp002754,bid162,,
133,pbc1,box1,33,stmp000561,bid33,,
134,pbc1,box2,24,stmp002108,bid124,,
135,pbc1,box2,54,stmp002618,bid154,,
136,pbc1,box1,52,stmp000884,bid52,,
137,pbc1,box2,28,stmp002176,bid128,,
138,pbc1,box2,68,stmp002856,bid168,,
139,pbc1,box1,8,stmp000136,bid8,,
140,pbc1,box2,34,stmp002278,bid134,,
141,pbc1,box2,88,stmp003196,bid188,,
142,pbc1,box2,69,stmp002873,bid169,,
143,pbc1,box1,83,stmp001411,bid83,,
144,pbc1,box2,33,stmp002261,bid133,,
145,pbc1,box2,80,stmp003060,bid180,,
146,pbc1,box1,65,stmp001105,bid65,,
147,pbc1,box3,100,stmp003400,bid200,,
148,pbc1,box1,88,stmp001496,bid88,,
149,pbc1,box1,50,stmp000850,bid50,,
150,pbc1,box2,56,stmp002652,bid156,,
151,pbc1,box2,13,stmp001921,bid113,,
152,pbc1,box1,12,stmp000204,bid12,,
153,pbc1,box1,36,stmp000612,bid36,,
154,pbc1,box2,35,stmp002295,bid135,,
155,pbc1,box1,87,stmp001479,bid87,,
156,pbc1,box2,38,stmp002346,bid138,,
157,pbc1,box1,94,stmp001598,bid94,,
158,pbc1,box2,78,stmp003026,bid178,,
159,pbc1,box2,98,stmp003366,bid198,,
160,pbc1,box2,100,stmp001700,bid100,,
161,pbc1,box1,37,stmp000629,bid37,,
162,pbc1,box2,48,stmp002516,bid148,,
163,pbc1,box2,76,stmp002992,bid176,,
164,pbc1,box2,86,stmp003162,bid186,,
165,pbc1,box2,58,stmp002686,bid158,,
166,pbc1,box1,22,stmp000374,bid22,,
167,pbc1,box1,81,stmp001377,bid81,,
168,pbc1,box1,73,stmp001241,bid73,,
169,pbc1,box1,19,stmp000323,bid19,,
170,pbc1,box2,74,stmp002958,bid174,,
171,pbc1,box1,97,stmp001649,bid97,,
172,pbc1,box2,87,stmp003179,bid187,,
173,pbc1,box1,51,stmp000867,bid51,,
174,pbc1,box2,23,stmp002091,bid123,,
175,pbc1,box2,75,stmp002975,bid175,,
176,pbc1,box2,43,stmp002431,bid143,,
177,pbc1,box2,15,stmp001955,bid115,,
178,pbc1,box1,93,stmp001581,bid93,,
179,pbc1,box1,6,stmp000102,bid6,,
180,pbc1,box1,7,stmp000119,bid7,,
181,pbc1,box2,31,stmp002227,bid131,,
182,pbc1,box1,25,stmp000425,bid25,,
183,pbc1,box2,70,stmp002890,bid170,,
184,pbc1,box1,24,stmp000408,bid24,,
185,pbc1,box1,64,stmp001088,bid64,,
186,pbc1,box1,5,stmp000085,bid5,,
187,pbc1,box1,59,stmp001003,bid59,,
188,pbc1,box2,22,stmp002074,bid122,,
189,pbc1,box1,46,stmp000782,bid46,,
190,pbc1,box1,42,stmp000714,bid42,,
191,pbc1,box2,29,stmp002193,bid129,,
192,pbc1,box1,2,stmp000034,bid2,,
193,pbc1,box2,32,stmp002244,bid132,,
194,pbc1,box2,55,stmp002635,bid155,,
195,pbc1,box1,43,stmp000731,bid43,,
196,pbc1,box1,3,stmp000051,bid3,,
197,pbc1,box2,14,stmp001938,bid114,,
198,pbc1,box2,36,stmp002312,bid136,,
199,pbc1,box1,56,stmp000952,bid56,,
