Ballot order,Collection,Box,Position,Stamp,Ballot id,Comments
94,pbc2,box2,97,stmp003349,bid397,,
95,pbc2,box2,29,stmp002193,bid329,,
96,pbc2,box1,38,stmp000646,bid238,,
97,pbc2,box1,79,stmp001343,bid279,,
98,pbc2,box2,19,stmp002023,bid319,,
99,pbc2,box1,6,stmp000102,bid206,,
100,pbc2,box1,81,stmp001377,bid281,,
101,pbc2,box2,80,stmp003060,bid380,,
102,pbc2,box2,63,stmp002771,bid363,,
103,pbc2,box2,31,stmp002227,bid331,,
104,pbc2,box1,29,stmp000493,bid229,,
105,pbc2,box2,37,stmp002329,bid337,,
106,pbc2,box2,83,stmp003111,bid383,,
107,pbc2,box1,3,stmp000051,bid203,,
108,pbc2,box1,10,stmp000170,bid210,,
109,pbc2,box1,35,stmp000595,bid235,,
110,pbc2,box1,74,stmp001258,bid274,,
111,pbc2,box1,63,stmp001071,bid263,,
112,pbc2,box1,58,stmp000986,bid258,,
113,pbc2,box1,60,stmp001020,bid260,,
114,pbc2,box1,47,stmp000799,bid247,,
115,pbc2,box2,20,stmp002040,bid320,,
116,pbc2,box1,69,stmp001173,bid269,,
117,pbc2,box1,65,stmp001105,bid265,,
118,pbc2,box2,81,stmp003077,bid381,,
119,pbc2,box1,83,stmp001411,bid283,,
120,pbc2,box1,73,stmp001241,bid273,,
121,pbc2,box2,48,stmp002516,bid348,,
122,pbc2,box1,89,stmp001513,bid289,,
123,pbc2,box2,33,stmp002261,bid333,,
124,pbc2,box1,75,stmp001275,bid275,,
125,pbc2,box2,54,stmp002618,bid354,,
126,pbc2,box2,26,stmp002142,bid326,,
127,pbc2,box1,18,stmp000306,bid218,,
128,pbc2,box2,32,stmp002244,bid332,,
129,pbc2,box2,64,stmp002788,bid364,,
130,pbc2,box2,49,stmp002533,bid349,,
131,pbc2,box2,41,stmp002397,bid341,,
132,pbc2,box1,9,stmp000153,bid209,,
133,pbc2,box2,96,stmp003332,bid396,,
134,pbc2,box2,14,stmp001938,bid314,,
135,pbc2,box2,51,stmp002567,bid351,,
136,pbc2,box2,82,stmp003094,bid382,,
137,pbc2,box1,95,stmp001615,bid295,,
138,pbc2,box1,41,stmp000697,bid241,,
139,pbc2,box2,15,stmp001955,bid315,,
140,pbc2,box2,13,stmp001921,bid313,,
141,pbc2,box2,87,stmp003179,bid387,,
142,pbc2,box2,10,stmp001870,bid310,,
143,pbc2,box2,46,stmp002482,bid346,,
144,pbc2,box1,39,stmp000663,bid239,,
145,pbc2,box2,18,stmp002006,bid318,,
146,pbc2,box1,54,stmp000918,bid254,,
147,pbc2,box1,8,stmp000136,bid208,,
148,pbc2,box2,72,stmp002924,bid372,,
149,pbc2,box1,45,stmp000765,bid245,,
150,pbc2,box1,98,stmp001666,bid298,,
151,pbc2,box2,55,stmp002635,bid355,,
152,pbc2,box1,68,stmp001156,bid268,,
153,pbc2,box2,59,stmp002703,bid359,,
154,pbc2,box2,60,stmp002720,bid360,,
155,pbc2,box1,7,stmp000119,bid207,,
156,pbc2,box2,36,stmp002312,bid336,,
157,pbc2,box2,61,stmp002737,bid361,,
158,pbc2,box1,82,stmp001394,bid282,,
159,pbc2,box2,69,stmp002873,bid369,,
160,pbc2,box2,9,stmp001853,bid309,,
161,pbc2,box1,70,stmp001190,bid270,,
162,pbc2,box1,99,stmp001683,bid299,,
163,pbc2,box1,13,stmp000221,bid213,,
164,pbc2,box2,75,stmp002975,bid375,,
165,pbc2,box2,22,stmp002074,bid322,,
166,pbc2,box2,47,stmp002499,bid347,,
167,pbc2,box1,67,stmp001139,bid267,,
168,pbc2,box2,21,stmp002057,bid321,,
169,pbc2,box1,16,stmp000272,bid216,,
170,pbc2,box2,11,stmp001887,bid311,,
171,pbc2,box1,24,stmp000408,bid224,,
172,pbc2,box2,42,stmp002414,bid342,,
173,pbc2,box2,53,stmp002601,bid353,,
174,pbc2,box2,16,stmp001972,bid316,,
175,pbc2,box2,12,stmp001904,bid312,,
176,pbc2,box1,51,stmp000867,bid251,,
177,pbc2,box2,40,stmp002380,bid340,,
178,pbc2,box2,58,stmp002686,bid358,,
179,pbc2,box2,50,stmp002550,bid350,,
180,pbc2,box2,5,stmp001785,bid305,,
181,pbc2,box1,88,stmp001496,bid288,,
182,pbc2,box1,4,stmp000068,bid204,,
183,pbc2,box2,4,stmp001768,bid304,,
184,pbc2,box2,25,stmp002125,bid325,,
185,pbc2,box2,30,stmp002210,bid330,,
186,pbc2,box2,99,stmp003383,bid399,,
187,pbc2,box1,48,stmp000816,bid248,,
188,pbc2,box1,97,stmp001649,bid297,,
189,pbc2,box2,1,stmp001717,bid301,,
190,pbc2,box1,33,stmp000561,bid233,,
191,pbc2,box2,44,stmp002448,bid344,,
192,pbc2,box2,98,stmp003366,bid398,,
193,pbc2,box2,70,stmp002890,bid370,,
194,pbc2,box2,95,stmp003315,bid395,,
195,pbc2,box2,2,stmp001734,bid302,,
196,pbc2,box2,89,stmp003213,bid389,,
197,pbc2,box2,34,stmp002278,bid334,,
198,pbc2,box1,11,stmp000187,bid211,,
199,pbc2,box1,78,stmp001326,bid278,,
