Ballot order,Collection,Box,Position,Stamp,Ballot id,Comments
65,pbc1,box1,78,stmp001326,bid78,,
66,pbc1,box2,21,stmp002057,bid121,,
67,pbc1,box1,20,stmp000340,bid20,,
68,pbc1,box1,7,stmp000119,bid7,,
69,pbc1,box2,93,stmp003281,bid193,,
70,pbc1,box1,60,stmp001020,bid60,,
71,pbc1,box2,25,stmp002125,bid125,,
72,pbc1,box2,94,stmp003298,bid194,,
73,pbc1,box1,22,stmp000374,bid22,,
74,pbc1,box1,93,stmp001581,bid93,,
75,pbc1,box2,84,stmp003128,bid184,,
76,pbc1,box1,37,stmp000629,bid37,,
77,pbc1,box2,1,stmp001717,bid101,,
78,pbc1,box1,26,stmp000442,bid26,,
79,pbc1,box1,33,stmp000561,bid33,,
80,pbc1,box2,10,stmp001870,bid110,,
81,pbc1,box2,28,stmp002176,bid128,,
82,pbc1,box2,18,stmp002006,bid118,,
83,pbc1,box2,65,stmp002805,bid165,,
84,pbc1,box2,5,stmp001785,bid105,,
85,pbc1,box1,35,stmp000595,bid35,,
86,pbc1,box1,25,stmp000425,bid25,,
87,pbc1,box1,59,stmp001003,bid59,,
88,pbc1,box2,36,stmp002312,bid136,,
89,pbc1,box1,52,stmp000884,bid52,,
90,pbc1,box2,35,stmp002295,bid135,,
91,pbc1,box2,77,stmp003009,bid177,,
92,pbc1,box1,13,stmp000221,bid13,,
93,pbc1,box2,19,stmp002023,bid119,,
94,pbc1,box2,38,stmp002346,bid138,,
95,pbc1,box1,88,stmp001496,bid88,,
96,pbc1,box1,46,stmp000782,bid46,,
97,pbc1,box1,70,stmp001190,bid70,,
98,pbc1,box2,29,stmp002193,bid129,,
99,pbc1,box1,10,stmp000170,bid10,,
100,pbc1,box2,66,stmp002822,bid166,,
101,pbc1,box2,57,stmp002669,bid157,,
102,pbc1,box1,51,stmp000867,bid51,,
103,pbc1,box2,12,stmp001904,bid112,,
104,pbc1,box1,18,stmp000306,bid18,,
105,pbc1,box1,27,stmp000459,bid27,,
106,pbc1,box1,71,stmp001207,bid71,,
107,pbc1,box1,28,stmp000476,bid28,,
108,pbc1,box1,29,stmp000493,bid29,,
109,pbc1,box1,62,stmp001054,bid62,,
110,pbc1,box2,11,stmp001887,bid111,,
111,pbc1,box2,50,stmp002550,bid150,,
112,pbc1,box2,33,stmp002261,bid133,,
113,pbc1,box1,92,stmp001564,bid92,,
114,pbc1,box1,79,stmp001343,bid79,,
115,pbc1,box1,47,stmp000799,bid47,,
116,pbc1,box2,98,stmp003366,bid198,,
117,pbc1,box2,85,stmp003145,bid185,,
118,pbc1,box1,17,stmp000289,bid17,,
119,pbc1,box1,55,stmp000935,bid55,,
120,pbc1,box1,43,stmp000731,bid43,,
121,pbc1,box1,86,stmp001462,bid86,,
122,pbc1,box1,89,stmp001513,bid89,,
123,pbc1,box1,50,stmp000850,bid50,,
124,pbc1,box1,15,stmp000255,bid15,,
125,pbc1,box2,15,stmp001955,bid115,,
126,pbc1,box2,60,stmp002720,bid160,,
127,pbc1,box1,81,stmp001377,bid81,,
128,pbc1,box1,66,stmp001122,bid66,,
129,pbc1,box1,8,stmp000136,bid8,,
130,pbc1,box2,74,stmp002958,bid174,,
131,pbc1,box2,47,stmp002499,bid147,,
132,pbc1,box1,5,stmp000085,bid5,,
133,pbc1,box1,83,stmp001411,bid83,,
134,pbc1,box1,73,stmp001241,bid73,,
135,pbc1,box1,12,stmp000204,bid12,,
136,pbc1,box2,70,stmp002890,bid170,,
137,pbc1,box2,99,stmp003383,bid199,,
138,pbc1,box1,74,stmp001258,bid74,,
139,pbc1,box1,1,stmp000017,bid1,,
140,pbc1,box1,53,stmp000901,bid53,,
141,pbc1,box2,32,stmp002244,bid132,,
142,pbc1,box2,76,stmp002992,bid176,,
143,pbc1,box1,32,stmp000544,bid32,,
144,pbc1,box2,17,stmp001989,bid117,,
145,pbc1,box2,71,stmp002907,bid171,,
146,pbc1,box1,30,stmp000510,bid30,,
147,pbc1,box1,23,stmp000391,bid23,,
148,pbc1,box2,40,stmp002380,bid140,,
149,pbc1,box1,61,stmp001037,bid61,,
150,pbc1,box2,69,stmp002873,bid169,,
151,pbc1,box2,83,stmp003111,bid183,,
152,pbc1,box1,6,stmp000102,bid6,,
153,pbc1,box2,20,stmp002040,bid120,,
154,pbc1,box1,54,stmp000918,bid54,,
155,pbc1,box2,13,stmp001921,bid113,,
156,pbc1,box1,9,stmp000153,bid9,,
157,pbc1,box2,6,stmp001802,bid106,,
158,pbc1,box1,39,stmp000663,bid39,,
159,pbc1,box1,84,stmp001428,bid84,,
160,pbc1,box2,52,stmp002584,bid152,,
161,pbc1,box2,46,stmp002482,bid146,,
162,pbc1,box2,58,stmp002686,bid158,,
163,pbc1,box1,4,stmp000068,bid4,,
164,pbc1,box2,31,stmp002227,bid131,,
165,pbc1,box1,16,stmp000272,bid16,,
166,pbc1,box2,78,stmp003026,bid178,,
167,pbc1,box1,76,stmp001292,bid76,,
168,pbc1,box1,97,stmp001649,bid97,,
169,pbc1,box3,100,stmp003400,bid200,,
170,pbc1,box2,27,stmp002159,bid127,,
171,pbc1,box2,8,stmp001836,bid108,,
172,pbc1,box2,82,stmp003094,bid182,,
173,pbc1,box2,45,stmp002465,bid145,,
174,pbc1,box2,75,stmp002975,bid175,,
175,pbc1,box2,55,stmp002635,bid155,,
176,pbc1,box2,92,stmp003264,bid192,,
177,pbc1,box2,44,stmp002448,bid144,,
178,pbc1,box2,24,stmp002108,bid124,,
179,pbc1,box1,63,stmp001071,bid63,,
180,pbc1,box2,26,stmp002142,bid126,,
181,pbc1,box2,2,stmp001734,bid102,,
182,pbc1,box2,79,stmp003043,bid179,,
183,pbc1,box2,91,stmp003247,bid191,,
184,pbc1,box1,56,stmp000952,bid56,,
185,pbc1,box1,42,stmp000714,bid42,,
186,pbc1,box2,67,stmp002839,bid167,,
187,pbc1,box2,64,stmp002788,bid164,,
188,pbc1,box2,42,stmp002414,bid142,,
189,pbc1,box1,31,stmp000527,bid31,,
190,pbc1,box2,73,stmp002941,bid173,,
191,pbc1,box1,72,stmp001224,bid72,,
192,pbc1,box2,34,stmp002278,bid134,,
193,pbc1,box2,23,stmp002091,bid123,,
194,pbc1,box2,3,stmp001751,bid103,,
195,pbc1,box2,81,stmp003077,bid181,,
196,pbc1,box1,3,stmp000051,bid3,,
197,pbc1,box1,87,stmp001479,bid87,,
198,pbc1,box2,88,stmp003196,bid188,,
199,pbc1,box1,48,stmp000816,bid48,,
