Collection,Ballot id,Contest,Selections
pbc2,bid238,con2,sel1
pbc2,bid241,con2,sel2
pbc2,bid242,con2,sel2
pbc2,bid243,con2,sel2
pbc2,bid244,con2,sel1
pbc2,bid246,con2,sel2
pbc2,bid247,con2,sel1
pbc2,bid249,con2,sel1
pbc2,bid253,con2,sel2
pbc2,bid254,con2,sel1
pbc2,bid256,con2,sel1
pbc2,bid259,con2,sel2
pbc2,bid260,con2,sel2
pbc2,bid263,con2,sel1
pbc2,bid265,con2,sel2
pbc2,bid267,con2,sel2
pbc2,bid268,con2,sel1
pbc2,bid269,con2,sel2
pbc2,bid270,con2,sel1
pbc2,bid273,con2,sel1
pbc2,bid275,con2,sel1
pbc2,bid277,con2,sel1
pbc2,bid278,con2,sel1
pbc2,bid282,con2,sel2
pbc2,bid284,con2,sel1
pbc2,bid285,con2,sel2
pbc2,bid286,con2,sel2
pbc2,bid287,con2,sel1
pbc2,bid288,con2,sel2
pbc2,bid289,con2,sel2
pbc2,bid290,con2,sel2
pbc2,bid292,con2,sel1
pbc2,bid297,con2,sel1
pbc2,bid298,con2,sel1
pbc2,bid299,con2,sel2
pbc2,bid300,con2,sel2
pbc2,bid301,con2,sel1
pbc2,bid302,con2,sel1
pbc2,bid303,con2,sel2
pbc2,bid304,con2,sel1
pbc2,bid305,con2,sel2
pbc2,bid309,con2,sel2
pbc2,bid310,con2,sel2
pbc2,bid311,con2,sel1
pbc2,bid314,con2,sel1
pbc2,bid315,con2,sel1
pbc2,bid318,con2,sel2
pbc2,bid319,con2,sel2
pbc2,bid321,con2,sel2
pbc2,bid322,con2,sel1
pbc2,bid323,con2,sel1
pbc2,bid324,con2,sel1
pbc2,bid326,con2,sel1
pbc2,bid327,con2,sel1
pbc2,bid328,con2,sel2
pbc2,bid330,con2,sel1
pbc2,bid331,con2,sel2
pbc2,bid335,con2,sel1
pbc2,bid341,con2,sel2
pbc2,bid342,con2,sel1
pbc2,bid343,con2,sel2
pbc2,bid344,con2,sel1
pbc2,bid345,con2,sel2
pbc2,bid346,con2,sel1
pbc2,bid347,con2,sel1
pbc2,bid349,con2,sel2
pbc2,bid353,con2,sel2
pbc2,bid359,con2,sel2
pbc2,bid361,con2,sel1
pbc2,bid364,con2,sel1
pbc2,bid366,con2,sel1
pbc2,bid367,con2,sel2
pbc2,bid368,con2,sel2
pbc2,bid370,con2,sel1
pbc2,bid373,con2,sel2
pbc2,bid375,con2,sel1
pbc2,bid376,con2,sel2
pbc2,bid377,con2,sel1
pbc2,bid382,con2,sel1
pbc2,bid383,con2,sel1
pbc2,bid384,con2,sel2
pbc2,bid385,con2,sel2
pbc2,bid388,con2,sel2
pbc2,bid390,con2,sel1
pbc2,bid392,con2,sel1
pbc2,bid393,con2,sel1
pbc2,bid398,con2,sel1
pbc2,bid400,con2,sel2
