Collection,Ballot id,Contest,Selections
pbc2,bid292,con1,sel1
pbc2,bid297,con1,sel1
pbc2,bid298,con1,sel1
pbc2,bid299,con1,sel2
pbc2,bid300,con1,sel2
pbc2,bid301,con1,sel1
pbc2,bid302,con1,sel1
pbc2,bid303,con1,sel2
pbc2,bid304,con1,sel1
pbc2,bid305,con1,sel2
pbc2,bid309,con1,sel2
pbc2,bid310,con1,sel2
pbc2,bid311,con1,sel1
pbc2,bid314,con1,sel1
pbc2,bid315,con1,sel1
pbc2,bid318,con1,sel2
pbc2,bid319,con1,sel2
pbc2,bid321,con1,sel2
pbc2,bid322,con1,sel1
pbc2,bid323,con1,sel1
pbc2,bid324,con1,sel1
pbc2,bid326,con1,sel1
pbc2,bid327,con1,sel1
pbc2,bid328,con1,sel2
pbc2,bid330,con1,sel1
pbc2,bid331,con1,sel2
pbc2,bid335,con1,sel1
pbc2,bid341,con1,sel2
pbc2,bid342,con1,sel1
pbc2,bid343,con1,sel2
pbc2,bid344,con1,sel1
pbc2,bid345,con1,sel2
pbc2,bid346,con1,sel1
pbc2,bid347,con1,sel1
pbc2,bid349,con1,sel2
pbc2,bid353,con1,sel2
pbc2,bid359,con1,sel2
pbc2,bid361,con1,sel1
pbc2,bid364,con1,sel1
pbc2,bid366,con1,sel1
pbc2,bid367,con1,sel2
pbc2,bid368,con1,sel2
pbc2,bid370,con1,sel1
pbc2,bid373,con1,sel2
pbc2,bid375,con1,sel1
pbc2,bid376,con1,sel2
pbc2,bid377,con1,sel1
pbc2,bid382,con1,sel1
pbc2,bid383,con1,sel1
pbc2,bid384,con1,sel2
pbc2,bid385,con1,sel2
pbc2,bid388,con1,sel2
pbc2,bid390,con1,sel1
pbc2,bid392,con1,sel1
pbc2,bid393,con1,sel1
pbc2,bid398,con1,sel1
pbc2,bid400,con1,sel2
