Collection,Ballot id,Contest,Selections
pbc1,bid22,con1,sel2
pbc1,bid24,con1,sel1
pbc1,bid25,con1,sel2
pbc1,bid29,con1,sel2
pbc1,bid33,con1,sel1
pbc1,bid35,con1,sel2
pbc1,bid36,con1,sel1
pbc1,bid40,con1,sel2
pbc1,bid43,con1,sel1
pbc1,bid44,con1,sel1
pbc1,bid48,con1,sel1
pbc1,bid51,con1,sel1
pbc1,bid52,con1,sel1
pbc1,bid57,con1,sel2
pbc1,bid58,con1,sel2
pbc1,bid59,con1,sel1
pbc1,bid63,con1,sel1
pbc1,bid65,con1,sel1
pbc1,bid66,con1,sel1
pbc1,bid67,con1,sel1
pbc1,bid70,con1,sel2
pbc1,bid71,con1,sel1
pbc1,bid72,con1,sel1
pbc1,bid73,con1,sel2
pbc1,bid75,con1,sel2
pbc1,bid76,con1,sel2
pbc1,bid77,con1,sel1
pbc1,bid82,con1,sel1
pbc1,bid83,con1,sel2
pbc1,bid84,con1,sel2
pbc1,bid85,con1,sel2
pbc1,bid87,con1,sel2
pbc1,bid89,con1,sel2
pbc1,bid91,con1,sel2
pbc1,bid92,con1,sel1
pbc1,bid93,con1,sel2
pbc1,bid94,con1,sel1
pbc1,bid96,con1,sel2
pbc1,bid99,con1,sel1
pbc1,bid100,con1,sel2
pbc1,bid104,con1,sel2
pbc1,bid105,con1,sel2
pbc1,bid111,con1,sel1
pbc1,bid112,con1,sel2
pbc1,bid116,con1,sel2
pbc1,bid125,con1,sel2
pbc1,bid127,con1,sel2
pbc1,bid128,con1,sel1
pbc1,bid130,con1,sel2
pbc1,bid131,con1,sel2
pbc1,bid136,con1,sel1
pbc1,bid137,con1,sel2
pbc1,bid138,con1,sel1
pbc1,bid139,con1,sel2
pbc1,bid140,con1,sel1
pbc1,bid141,con1,sel1
pbc1,bid142,con1,sel1
pbc1,bid144,con1,sel2
pbc1,bid145,con1,sel1
pbc1,bid146,con1,sel2
pbc1,bid148,con1,sel2
pbc1,bid149,con1,sel2
pbc1,bid150,con1,sel1
pbc1,bid151,con1,sel2
pbc1,bid152,con1,sel1
pbc1,bid153,con1,sel2
pbc1,bid155,con1,sel1
pbc1,bid156,con1,sel1
pbc1,bid159,con1,sel2
pbc1,bid160,con1,sel1
pbc1,bid161,con1,sel2
pbc1,bid163,con1,sel2
pbc1,bid165,con1,sel2
pbc1,bid169,con1,sel2
pbc1,bid170,con1,sel2
pbc1,bid171,con1,sel2
pbc1,bid172,con1,sel1
pbc1,bid173,con1,sel1
pbc1,bid174,con1,sel2
pbc1,bid175,con1,sel1
pbc1,bid178,con1,sel2
pbc1,bid182,con1,sel2
pbc1,bid183,con1,sel2
pbc1,bid184,con1,sel1
pbc1,bid185,con1,sel2
pbc1,bid186,con1,sel1
pbc1,bid187,con1,sel2
pbc1,bid189,con1,sel2
pbc1,bid194,con1,sel1
pbc1,bid196,con1,sel1
pbc1,bid197,con1,sel1
pbc1,bid199,con1,sel2
